observation_date,DFEDTAR
2008-09-22,2.0000
2008-09-23,2.0000
2008-09-24,2.0000
2008-09-25,2.0000
2008-09-26,2.0000
2008-09-27,2.0000
2008-09-28,2.0000
2008-09-29,2.0000
2008-09-30,2.0000
2008-10-01,2.0000
2008-10-02,2.0000
2008-10-03,2.0000
2008-10-04,2.0000
2008-10-05,2.0000
2008-10-06,2.0000
2008-10-07,2.0000
2008-10-08,1.5000
2008-10-09,1.5000
2008-10-10,1.5000
2008-10-11,1.5000
2008-10-12,1.5000
2008-10-13,1.5000
2008-10-14,1.5000
2008-10-15,1.5000
2008-10-16,1.5000
2008-10-17,1.5000
2008-10-18,1.5000
2008-10-19,1.5000
2008-10-20,1.5000
2008-10-21,1.5000
2008-10-22,1.5000
2008-10-23,1.5000
2008-10-24,1.5000
2008-10-25,1.5000
2008-10-26,1.5000
2008-10-27,1.5000
2008-10-28,1.5000
2008-10-29,1.0000
2008-10-30,1.0000
2008-10-31,1.0000
2008-11-01,1.0000
2008-11-02,1.0000
2008-11-03,1.0000
2008-11-04,1.0000
2008-11-05,1.0000
2008-11-06,1.0000
2008-11-07,1.0000
2008-11-08,1.0000
2008-11-09,1.0000
2008-11-10,1.0000
2008-11-11,1.0000
2008-11-12,1.0000
2008-11-13,1.0000
2008-11-14,1.0000
2008-11-15,1.0000
2008-11-16,1.0000
2008-11-17,1.0000
2008-11-18,1.0000
2008-11-19,1.0000
2008-11-20,1.0000
2008-11-21,1.0000
2008-11-22,1.0000
2008-11-23,1.0000
2008-11-24,1.0000
2008-11-25,1.0000
2008-11-26,1.0000
2008-11-27,1.0000
2008-11-28,1.0000
2008-11-29,1.0000
2008-11-30,1.0000
2008-12-01,1.0000
2008-12-02,1.0000
2008-12-03,1.0000
2008-12-04,1.0000
2008-12-05,1.0000
2008-12-06,1.0000
2008-12-07,1.0000
2008-12-08,1.0000
2008-12-09,1.0000
2008-12-10,1.0000
2008-12-11,1.0000
2008-12-12,1.0000
2008-12-13,1.0000
2008-12-14,1.0000
2008-12-15,1.0000
